epoch,lr,train_loss,train_m1_loss,train_m2_loss,train_m1_accuracy,train_m2_accuracy,train_m1_macro_f1,train_m2_macro_f1,train_m2_valid_samples,val_loss,val_m1_loss,val_m2_loss,val_m1_accuracy,val_m2_accuracy,val_m1_macro_f1,val_m2_macro_f1,val_m2_valid_samples
1,0.0001,0.4687650322210227,0.29657267886165306,0.6417351344588477,0.9191024025366885,0.8593500818093325,0.9066954461453434,0.8420670631917033,48283,0.07570419740204581,0.04397205217037407,0.10942828151337501,0.9900748454279206,0.9681697612732095,0.9910651786464542,0.9642067325962721,6032
2,0.0001,0.08370872730137618,0.04229674591240304,0.12511349026596125,0.9849587381600878,0.9653294120083673,0.98411026350106,0.9616729120988241,48283,0.03469041857130164,0.012620823403815547,0.05781353118734224,0.9982102180279857,0.9824270557029178,0.9983020523491767,0.9816418872259691,6032
3,0.0001,0.06322279691863812,0.03423164743050079,0.09232309215496767,0.9881295987641774,0.9738624360540977,0.9874871410313385,0.9708162419656617,48283,0.040876883940110235,0.011739383703611777,0.07126663058027441,0.9965831435079726,0.9759615384615384,0.9970295236582257,0.9718758242855646,6032
4,0.0001,0.04762318658192805,0.025884518278644197,0.06935331908887175,0.9902841578925973,0.9796822898328604,0.989603587743654,0.9774130216198591,48283,0.024541789649338987,0.013751355746886717,0.03599714077339239,0.9960950211519688,0.9895557029177718,0.9967473866560329,0.9884577612404347,6032
5,0.0001,0.04425938372126031,0.022314335233021346,0.06612515172128128,0.9920321964307492,0.9803864714288673,0.9913062820796888,0.9780944256574985,48283,0.02746063586155385,0.012731515385944768,0.042375839419594497,0.9965831435079726,0.9870689655172413,0.9961121595146195,0.9836795167134716,6032
6,0.0001,0.033385800866672054,0.016171377982998846,0.05061256945270652,0.9937599089393878,0.9838659569620778,0.9936590395043403,0.9821481687332708,48283,0.01955968792898186,0.0076297570079536595,0.03207767788992339,0.9982102180279857,0.9890583554376657,0.9982335396164448,0.9860575586756932,6032
7,0.0001,0.030429350635531052,0.014132640680972386,0.046701299890234485,0.9944306679133298,0.9852743201540916,0.9940572441911983,0.9834962742983218,48283,0.019355416597304165,0.006539737462522929,0.03259535187572662,0.9975593882199805,0.9887267904509284,0.9975027516410652,0.9877493659394951,6032
8,0.0001,0.03414783449327113,0.02100987236123097,0.04730295734619795,0.9928655636407984,0.9859577905266864,0.991384734519443,0.9840268941668747,48283,0.02019528799976022,0.008037946005015817,0.03255712352736782,0.9978848031239831,0.9888925729442971,0.9972835486838597,0.9865828799401616,6032
9,0.0001,0.026183801960935543,0.013697089609491472,0.038646137937238034,0.9946542542379772,0.9873454424952882,0.9942482219466402,0.9858788543381563,48283,0.012386151818557097,0.006929087365498579,0.018164660728149314,0.9982102180279857,0.9948607427055703,0.9986550381144687,0.9944656408405667,6032
10,0.0001,0.02532331810979373,0.012994934834689702,0.03770331776450904,0.9947965364445709,0.9884431373361224,0.9942083093176789,0.9868552567490445,48283,0.012214248928585905,0.0042111230191455625,0.020599099837238646,0.9990237552879921,0.9937002652519894,0.999040093705716,0.9929442887738237,6032
11,0.0001,0.025483667115192895,0.013314779387652098,0.03768490372799572,0.994694906297004,0.9883395812190626,0.9940858030543016,0.9866568818623473,48283,0.011939900902417862,0.003640366825387151,0.020613601009920518,0.9993491701919948,0.9930371352785146,0.9995469599329506,0.9920280876104584,6032
12,0.0001,0.02055399970010947,0.010112374653255552,0.031015350993215327,0.9958738160087809,0.9904728372304952,0.9957548713491465,0.9891302338179023,48283,0.017992346283746144,0.004968184551938099,0.03159063178546345,0.998372925479987,0.9888925729442971,0.998312629368992,0.9867011404770599,6032
13,0.0001,0.024582244493930098,0.013050560310931887,0.036071839811905364,0.9949388186511647,0.9884638485595344,0.9944531099503192,0.9869134906969386,48283,0.014520962786983917,0.0031692624092279037,0.026352789954880284,0.9988610478359908,0.9923740053050398,0.9985624128823204,0.9914167849819971,6032
14,0.0001,0.022880054241813885,0.012685054186493815,0.0329850010041262,0.9956095776251067,0.9896650995174285,0.994847458895251,0.9885083249197648,48283,0.023241769330866375,0.014011751371298545,0.033074555974033304,0.9969085584119752,0.9890583554376657,0.994356114912378,0.9857062684254904,6032
15,5e-05,0.010844824389926622,0.004236416702266537,0.017443145885878718,0.9980283751372007,0.9947600604767723,0.9980337821959506,0.9940940678833396,48283,0.009082827114526015,0.003620649126201087,0.014812257106743783,0.9991864627399935,0.9960212201591512,0.9989904099760755,0.9957232189561386,6032
16,5e-05,0.009161890397895146,0.0037945670600067435,0.014535516771602993,0.9981909833733078,0.9956506430834869,0.9983356189084437,0.9951175475715549,48283,0.008418527984976668,0.0028579644365953447,0.014241724798056632,0.9993491701919948,0.9958554376657824,0.9992626352811403,0.9948972170645913,6032
17,5e-05,0.009679382351449476,0.004194350734023275,0.01518706230408367,0.9981706573437945,0.9958370440941946,0.9980592529984478,0.9953173937526643,48283,0.005775686435144788,0.0020278074806080624,0.009702771164245163,0.9991864627399935,0.9968501326259946,0.9989451701925803,0.9960248434937984,6032
18,5e-05,0.009732535824571236,0.004198395567599218,0.015273160573062773,0.9984755477864954,0.9953399747323074,0.9982696240763164,0.9947676596694673,48283,0.00896236371561867,0.00241893214678307,0.015797885834552324,0.9996745850959974,0.9960212201591512,0.9994725302755956,0.9954510054457542,6032
19,5e-05,0.009837315816834615,0.004248970082776731,0.01542283733786407,0.9984145696979552,0.9951742849450117,0.9983615291436269,0.9943901085229365,48283,0.005924637276721105,0.0013395481844836947,0.010707704195482467,0.9995118776439961,0.996684350132626,0.9993438882977674,0.9962460003634214,6032
20,5e-05,0.008452307294738141,0.004197641980861309,0.012703099071348034,0.9984755477864954,0.9964169583497298,0.9983560208369816,0.9960040339339399,48283,0.007192102130134589,0.00172327423130705,0.012899775912020598,0.9996745850959974,0.9960212201591512,0.9995893224482425,0.9945527952387149,6032
