model,n_features,accuracy,balanced_accuracy,precision,recall,f1,fnr,fpr,features
raw_4,4,0.94275,0.9426009361467798,0.9427381572097866,0.9383419689119171,0.9405349259932485,0.061658031088082904,0.05314009661835749,"soil_moisture, temperature, humidity, water_level"
all_12,12,0.941,0.9408225075717754,0.9416058394160584,0.9357512953367876,0.9386694386694386,0.06424870466321243,0.05410628019323672,"soil_moisture, temperature, humidity, water_level, et_rate, soil_temp_stress, moisture_deficit, stress_index, vpd_index, temp_hum_ratio, critical_dry, optimal_moisture"
core_engineered,6,0.87825,0.8801419238567245,0.8335644937586685,0.9341968911917099,0.8810163694111899,0.06580310880829016,0.17391304347826086,"soil_moisture, temperature, humidity, stress_index, vpd_index, moisture_deficit"
reduced_engineered,5,0.87825,0.8801419238567245,0.8335644937586685,0.9341968911917099,0.8810163694111899,0.06580310880829016,0.17391304347826086,"soil_moisture, temperature, humidity, stress_index, vpd_index"
raw_no_water,3,0.87825,0.8799842306825861,0.8363636363636363,0.9295336787564766,0.8804907975460122,0.07046632124352331,0.16956521739130434,"soil_moisture, temperature, humidity"
